GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US06,06,California,9500000US0602610,0602610,"California - SCHOOL DISTRICT, ELEMENTARY - Anaheim Elementary School District",Anaheim Elementary School District,88.6,2.3
0400000US06,06,California,9500000US0603630,0603630,"California - SCHOOL DISTRICT, ELEMENTARY - Bakersfield City School District",Bakersfield City School District,80.4,2.7
0400000US06,06,California,9500000US0604800,0604800,"California - SCHOOL DISTRICT, ELEMENTARY - Berryessa Union Elementary School District",Berryessa Union Elementary School District,91.0,3.0
0400000US06,06,California,9500000US0605580,0605580,"California - SCHOOL DISTRICT, ELEMENTARY - Santa Maria-Bonita Elementary School District",Santa Maria-Bonita Elementary School District,87.2,3.4
0400000US06,06,California,9500000US0605910,0605910,"California - SCHOOL DISTRICT, ELEMENTARY - Brentwood Union Elementary School District",Brentwood Union Elementary School District,94.2,2.9
0400000US06,06,California,9500000US0606390,0606390,"California - SCHOOL DISTRICT, ELEMENTARY - Panama-Buena Vista School District",Panama-Buena Vista School District,89.4,3.2
0400000US06,06,California,9500000US0606810,0606810,"California - SCHOOL DISTRICT, ELEMENTARY - Cajon Valley Union Elementary School District",Cajon Valley Union Elementary School District,91.3,2.0
0400000US06,06,California,9500000US0607200,0607200,"California - SCHOOL DISTRICT, ELEMENTARY - Campbell Union Elementary School District",Campbell Union Elementary School District,91.2,3.1
0400000US06,06,California,9500000US0608610,0608610,"California - SCHOOL DISTRICT, ELEMENTARY - Chula Vista Elementary School District",Chula Vista Elementary School District,88.7,1.6
0400000US06,06,California,9500000US0610290,0610290,"California - SCHOOL DISTRICT, ELEMENTARY - Cupertino Union Elementary School District",Cupertino Union Elementary School District,94.0,2.0
0400000US06,06,California,9500000US0611850,0611850,"California - SCHOOL DISTRICT, ELEMENTARY - East Whittier City Elementary School District",East Whittier City Elementary School District,84.2,4.6
0400000US06,06,California,9500000US0612090,0612090,"California - SCHOOL DISTRICT, ELEMENTARY - El Monte City School District",El Monte City School District,75.4,4.4
0400000US06,06,California,9500000US0612750,0612750,"California - SCHOOL DISTRICT, ELEMENTARY - Encinitas Union Elementary School District",Encinitas Union Elementary School District,93.5,3.1
0400000US06,06,California,9500000US0612880,0612880,"California - SCHOOL DISTRICT, ELEMENTARY - Escondido Union Elementary School District",Escondido Union Elementary School District,87.9,2.3
0400000US06,06,California,9500000US0612960,0612960,"California - SCHOOL DISTRICT, ELEMENTARY - Etiwanda Elementary School District",Etiwanda Elementary School District,98.6,1.0
0400000US06,06,California,9500000US0613140,0613140,"California - SCHOOL DISTRICT, ELEMENTARY - Evergreen Elementary School District",Evergreen Elementary School District,95.9,1.6
0400000US06,06,California,9500000US0613500,0613500,"California - SCHOOL DISTRICT, ELEMENTARY - Fallbrook Union Elementary School District",Fallbrook Union Elementary School District,80.6,5.3
0400000US06,06,California,9500000US0614370,0614370,"California - SCHOOL DISTRICT, ELEMENTARY - Franklin-McKinley Elementary School District",Franklin-McKinley Elementary School District,88.7,2.8
0400000US06,06,California,9500000US0614730,0614730,"California - SCHOOL DISTRICT, ELEMENTARY - Fullerton Elementary School District",Fullerton Elementary School District,91.1,2.1
0400000US06,06,California,9500000US0615510,0615510,"California - SCHOOL DISTRICT, ELEMENTARY - Goleta Union Elementary School District",Goleta Union Elementary School District,88.0,2.7
0400000US06,06,California,9500000US0616680,0616680,"California - SCHOOL DISTRICT, ELEMENTARY - Hawthorne Elementary School District",Hawthorne Elementary School District,83.8,3.6
0400000US06,06,California,9500000US0618030,0618030,"California - SCHOOL DISTRICT, ELEMENTARY - Huntington Beach City Elementary School District",Huntington Beach City Elementary School District,90.4,3.1
0400000US06,06,California,9500000US0618870,0618870,"California - SCHOOL DISTRICT, ELEMENTARY - Jefferson Elementary School District (San Mateo County)",Jefferson Elementary School District (San Mateo County),88.1,3.3
0400000US06,06,California,9500000US0620250,0620250,"California - SCHOOL DISTRICT, ELEMENTARY - La Mesa-Spring Valley School District",La Mesa-Spring Valley School District,91.0,1.8
0400000US06,06,California,9500000US0620880,0620880,"California - SCHOOL DISTRICT, ELEMENTARY - Lancaster Elementary School District",Lancaster Elementary School District,77.5,3.5
0400000US06,06,California,9500000US0623430,0623430,"California - SCHOOL DISTRICT, ELEMENTARY - Magnolia Elementary School District",Magnolia Elementary School District,87.4,4.0
0400000US06,06,California,9500000US0624540,0624540,"California - SCHOOL DISTRICT, ELEMENTARY - Menifee Union School District",Menifee Union School District,90.5,2.8
0400000US06,06,California,9500000US0624600,0624600,"California - SCHOOL DISTRICT, ELEMENTARY - Merced City Elementary School District",Merced City Elementary School District,87.4,2.8
0400000US06,06,California,9500000US0625130,0625130,"California - SCHOOL DISTRICT, ELEMENTARY - Modesto City Elementary School District",Modesto City Elementary School District,83.9,2.5
0400000US06,06,California,9500000US0626280,0626280,"California - SCHOOL DISTRICT, ELEMENTARY - Mountain View Whisman Elementary School District",Mountain View Whisman Elementary School District,93.3,2.4
